AppDownloadDate,DownloadCount
04 Apr 2017,100
03 Apr 2017,84
02 Apr 2017,130
01 Apr 2017,119
31 Mar 2017,126
30 Mar 2017,117
29 Mar 2017,63
28 Mar 2017,45
27 Mar 2017,77
26 Mar 2017,137
25 Mar 2017,234
24 Mar 2017,145
23 Mar 2017,97
22 Mar 2017,82
21 Mar 2017,86
20 Mar 2017,98
19 Mar 2017,186
18 Mar 2017,147
17 Mar 2017,174
16 Mar 2017,107
15 Mar 2017,147
14 Mar 2017,134
13 Mar 2017,49
12 Mar 2017,151
11 Mar 2017,289
10 Mar 2017,200
09 Mar 2017,143
08 Mar 2017,97
07 Mar 2017,97
06 Mar 2017,125
05 Mar 2017,104
04 Mar 2017,120
03 Mar 2017,63
02 Mar 2017,47
01 Mar 2017,77
28 Feb 2017,109
27 Feb 2017,94
26 Feb 2017,146
25 Feb 2017,129
24 Feb 2017,163
23 Feb 2017,107
22 Feb 2017,92
21 Feb 2017,95
20 Feb 2017,123
19 Feb 2017,121
18 Feb 2017,120
17 Feb 2017,87
16 Feb 2017,76
15 Feb 2017,47
14 Feb 2017,68
13 Feb 2017,57
12 Feb 2017,125
11 Feb 2017,142
10 Feb 2017,117
09 Feb 2017,99
08 Feb 2017,59
07 Feb 2017,125
06 Feb 2017,136
05 Feb 2017,111
04 Feb 2017,116
03 Feb 2017,129
02 Feb 2017,53
01 Feb 2017,44
31 Jan 2017,89
30 Jan 2017,135
29 Jan 2017,110
28 Jan 2017,152
27 Jan 2017,122
26 Jan 2017,100
25 Jan 2017,131
24 Jan 2017,75
23 Jan 2017,118
22 Jan 2017,131
21 Jan 2017,165
20 Jan 2017,127
19 Jan 2017,87
18 Jan 2017,64
17 Jan 2017,102
16 Jan 2017,92
15 Jan 2017,95
14 Jan 2017,115
13 Jan 2017,126
12 Jan 2017,148
11 Jan 2017,49
10 Jan 2017,83
09 Jan 2017,126
08 Jan 2017,185
07 Jan 2017,139
06 Jan 2017,138
05 Jan 2017,110
04 Jan 2017,81
03 Jan 2017,124
02 Jan 2017,140
01 Jan 2017,56
31 Dec 2016,138
30 Dec 2016,140
29 Dec 2016,139
28 Dec 2016,101
27 Dec 2016,116
26 Dec 2016,108
25 Dec 2016,111
24 Dec 2016,101
23 Dec 2016,162
22 Dec 2016,70
21 Dec 2016,63
20 Dec 2016,71
19 Dec 2016,130
18 Dec 2016,59
17 Dec 2016,106
16 Dec 2016,65
15 Dec 2016,76
14 Dec 2016,67
13 Dec 2016,62
12 Dec 2016,104
11 Dec 2016,50
10 Dec 2016,101
09 Dec 2016,77
08 Dec 2016,60
07 Dec 2016,68
06 Dec 2016,43
05 Dec 2016,63
04 Dec 2016,52
03 Dec 2016,57
02 Dec 2016,54
01 Dec 2016,50
30 Nov 2016,38
29 Nov 2016,39
28 Nov 2016,20
27 Nov 2016,42
26 Nov 2016,92
25 Nov 2016,46
24 Nov 2016,41
23 Nov 2016,38
22 Nov 2016,46
21 Nov 2016,65
20 Nov 2016,31
19 Nov 2016,39
18 Nov 2016,82
17 Nov 2016,69
16 Nov 2016,85
15 Nov 2016,78
14 Nov 2016,110
13 Nov 2016,41
12 Nov 2016,94
11 Nov 2016,86
10 Nov 2016,52
09 Nov 2016,80
08 Nov 2016,55
07 Nov 2016,65
06 Nov 2016,75
05 Nov 2016,101
04 Nov 2016,87
03 Nov 2016,102
02 Nov 2016,147
01 Nov 2016,78
31 Oct 2016,34
30 Oct 2016,32
29 Oct 2016,87
28 Oct 2016,196
27 Oct 2016,152
26 Oct 2016,120
25 Oct 2016,125
24 Oct 2016,82
23 Oct 2016,62
22 Oct 2016,130
21 Oct 2016,96
20 Oct 2016,14
19 Oct 2016,36
18 Oct 2016,139
17 Oct 2016,112
16 Oct 2016,87
15 Oct 2016,148
14 Oct 2016,80
13 Oct 2016,140
12 Oct 2016,189
11 Oct 2016,134
10 Oct 2016,86
09 Oct 2016,105
08 Oct 2016,232
07 Oct 2016,197
06 Oct 2016,113
05 Oct 2016,70
04 Oct 2016,116
03 Oct 2016,82
02 Oct 2016,113
01 Oct 2016,135
30 Sep 2016,117
29 Sep 2016,52
28 Sep 2016,41
27 Sep 2016,33
26 Sep 2016,37
25 Sep 2016,73
24 Sep 2016,43
23 Sep 2016,53
22 Sep 2016,37
21 Sep 2016,31
20 Sep 2016,31
19 Sep 2016,33
18 Sep 2016,41
17 Sep 2016,55
16 Sep 2016,60
15 Sep 2016,38
14 Sep 2016,41
13 Sep 2016,33
11 Sep 2016,1
10 Sep 2016,7
09 Sep 2016,2
08 Sep 2016,2
06 Sep 2016,4
04 Sep 2016,3
03 Sep 2016,3
02 Sep 2016,15
01 Sep 2016,8
31 Aug 2016,1
30 Aug 2016,5
29 Aug 2016,3
28 Aug 2016,7
27 Aug 2016,11
26 Aug 2016,11
25 Aug 2016,7
24 Aug 2016,13
23 Aug 2016,4
22 Aug 2016,2
20 Aug 2016,2
19 Aug 2016,2
17 Aug 2016,1
